Operator,Station,Code,Cubic Name,NLC,Gated
GTR,South Croydon,GTR,TOC5410,5410,1
GTR,Southbourne,GTR,TOC5263,5263,1
GTR,Southease,GTR,TOC5339,5339,1
GTR,Southwick,GTR,TOC5286,5286,1
GTR,St Pancras International,GTR,TOC1555,1555,1
GTR,St. Albans,GTR,TOC1548,1548,1
GTR,St. Neots,GTR,TOC6110,6110,1
GTR,Stevenage,GTR,TOC6092,6092,1
GTR,Streatham,GTR,TOC5383,5383,1
GTR,Streatham Common,GTR,TOC5384,5384,1
GTR,Streatham Hill,GTR,TOC5435,5435,1
GTR,Sutton London,GTR,TOC5385,5385,1
GTR,Thornton Heath,GTR,TOC5388,5388,1
GTR,Three Bridges,GTR,TOC5491,5491,1
GTR,Three Oaks,GTR,TOC5028,5028,1
GTR,Tooting,GTR,TOC5389,5389,1
GTR,Tulse Hill,GTR,TOC5390,5390,1
GTR,Uckfield,GTR,TOC5334,5334,1
GTR,Victoria Gatwick Express,GTR,TOC5449,5426,1
GTR,Wallington,GTR,TOC5394,5394,1
GTR,Warblington,GTR,TOC5264,5264,1
GTR,Warnham,GTR,TOC5316,5316,1
GTR,Waterbeach,GTR,TOC7079,7079,1
GTR,Watlington,GTR,TOC7057,7057,1
GTR,Watton-At-Stone,GTR,TOC6095,6095,1
GTR,Welham Green,GTR,TOC6073,6073,1
GTR,Welwyn GC Pl 1-2,GTR,TOC6183,6183,1
GTR,Welwyn GC Pl 3-4,GTR,TOC6183,6183,1
GTR,Welwyn North,GTR,TOC6096,6096,1
GTR,West Hampstead,GTR,TOC1525,1525,1
GTR,West Norwood,GTR,TOC5438,5438,1
GTR,West Worthing,GTR,TOC5278,5278,1
GTR,Winchelsea,GTR,TOC5042,5042,1
GTR,Winchmore Hill,GTR,TOC6024,6024,1
GTR,Wivelsfield,GTR,TOC5341,5341,1
GTR,Woldingham,GTR,TOC5440,5440,1
GTR,Worthing,GTR,TOC5279,5279,1
GWR,Avonmouth,GWR,TOC3200,3200,1
GWR,Bath Spa,GWR,TOC3271,3271,1
GWR,Bristol Parkway,GWR,TOC3230,3230,1
GWR,Bristol Temple Meads,GWR,TOC3231,3231,1
GWR,Cheltenham Spa,GWR,TOC4731,4731,1
GWR,Chippenham,GWR,TOC3267,3267,1
GWR,Clifton Down,GWR,TOC3202,3202,1
GWR,Didcot Parkway,GWR,TOC3030,3030,1
GWR,Exeter Central,GWR,TOC5755,5755,1
GWR,Exeter St Davids,GWR,TOC3410,3410,1
GWR,Gloucester,GWR,TOC4760,4760,1
GWR,Lawrence Hill,GWR,TOC3225,3225,1
GWR,Maidenhead,GWR,TOC3147,3147,1
GWR,Montpelier,GWR,TOC3203,3203,1
GWR,Newbury,GWR,TOC3074,3074,1
GWR,Newton Abbott,GWR,TOC3426,3426,1
GWR,Oxford,GWR,TOC3115,3115,1
GWR,Paddington,GWR,TOC3087,3087,1
GWR,Plymouth,GWR,TOC3580,3580,1
GWR,Reading,GWR,TOC3149,3149,1
GWR,Redland,GWR,TOC3247,3247,1
GWR,Sea Mills,GWR,TOC3254,3254,1
GWR,Severn Beach,GWR,TOC3205,3205,1
GWR,Shirehampton,GWR,TOC3206,3206,1
GWR,Slough,GWR,TOC3173,3172,1
GWR,St Andrews Road,GWR,TOC3252,3252,1
GWR,Stapleton Road,GWR,TOC3250,3250,1
GWR,Swindon,GWR,TOC3333,3333,1
GWR,Taunton,GWR,TOC3471,3471,1
GWR,Truro,GWR,TOC3540,3540,1
GWR,Weston Super Mare,GWR,TOC3391,3391,1
LNER,Kings Cross Arches 1-3 (ex-Kings Cross Accelerated),LNER,TOC6121,6121,1
Merseyrail,Birkenhead Hamilton Square,Mersey,TOC2219,2219,1
Merseyrail,Conway Park,Mersey,TOC3624,3624,1
Merseyrail,James Street,Mersey,TOC2244,2244,1
